Timestamp,Status,Confidence %
2026-01-04 23:16:17,VIOLATION,42.6
2026-01-04 23:16:27,VIOLATION,6.7
2026-01-04 23:16:30,VIOLATION,13.1
2026-01-04 23:16:38,VIOLATION,13.3
2026-01-04 23:16:42,VIOLATION,37.6
2026-01-04 23:16:49,VIOLATION,16.4
2026-01-04 23:16:51,VIOLATION,23.6
2026-01-04 23:16:55,VIOLATION,9.1
2026-01-05 15:04:29,VIOLATION,36.1
2026-01-05 15:04:33,VIOLATION,8.0
2026-01-05 15:04:35,VIOLATION,35.1
2026-01-05 15:04:38,VIOLATION,13.5
2026-01-05 15:04:41,VIOLATION,17.8
2026-01-05 15:04:44,VIOLATION,43.1
2026-01-05 15:04:47,VIOLATION,32.2
2026-01-05 15:04:50,VIOLATION,40.9
2026-01-05 15:04:53,VIOLATION,7.9
2026-01-05 15:04:56,VIOLATION,23.7
2026-01-05 15:04:59,VIOLATION,24.7
2026-01-05 15:46:45,No Mask,18.71
2026-01-05 15:46:45,No Mask,11.30
2026-01-05 15:46:45,No Mask,8.81
2026-01-05 15:46:46,No Mask,7.23
2026-01-05 15:46:46,No Mask,6.40
2026-01-05 15:46:46,No Mask,6.07
2026-01-05 15:46:46,No Mask,6.05
2026-01-05 15:46:46,No Mask,5.76
2026-01-05 15:46:46,No Mask,5.60
2026-01-05 15:46:47,No Mask,5.40
2026-01-05 15:46:47,No Mask,3.90
2026-01-05 15:46:47,No Mask,3.97
2026-01-05 15:46:47,No Mask,4.02
2026-01-05 15:46:47,No Mask,4.42
2026-01-05 15:46:47,No Mask,4.41
2026-01-05 15:46:48,No Mask,4.64
2026-01-05 15:46:48,No Mask,4.35
2026-01-05 15:46:48,No Mask,4.19
2026-01-05 15:46:48,No Mask,4.24
2026-01-05 15:46:48,No Mask,4.16
2026-01-05 15:46:48,No Mask,3.98
2026-01-05 15:46:49,No Mask,3.95
2026-01-05 15:46:49,No Mask,3.90
2026-01-05 15:46:49,No Mask,3.76
2026-01-05 15:46:49,No Mask,4.64
2026-01-05 15:46:49,No Mask,4.41
2026-01-05 15:46:49,No Mask,4.33
2026-01-05 15:46:50,No Mask,4.33
2026-01-05 15:46:50,No Mask,4.00
2026-01-05 15:46:50,No Mask,3.85
2026-01-05 15:46:50,No Mask,4.07
2026-01-05 15:46:50,No Mask,3.79
2026-01-05 15:46:50,No Mask,3.79
2026-01-05 15:46:51,No Mask,3.70
2026-01-05 15:46:51,No Mask,2.76
2026-01-05 15:46:51,No Mask,2.68
2026-01-05 15:46:51,No Mask,2.78
2026-01-05 15:46:51,No Mask,3.03
2026-01-05 15:46:51,No Mask,3.34
2026-01-05 15:46:52,No Mask,3.53
2026-01-05 15:46:52,No Mask,3.34
2026-01-05 15:46:52,No Mask,3.69
2026-01-05 15:46:52,No Mask,3.73
2026-01-05 15:46:52,No Mask,3.62
2026-01-05 15:46:52,No Mask,3.84
2026-01-05 15:46:53,No Mask,3.74
2026-01-05 15:46:53,No Mask,3.93
2026-01-05 15:46:53,No Mask,3.60
2026-01-05 15:46:53,No Mask,3.41
2026-01-05 15:46:53,No Mask,3.29
2026-01-05 15:46:54,No Mask,3.32
2026-01-05 15:46:54,No Mask,2.95
2026-01-05 15:46:54,No Mask,2.87
2026-01-05 15:46:54,No Mask,2.72
2026-01-05 15:46:54,No Mask,2.60
2026-01-05 15:46:54,No Mask,2.48
2026-01-05 15:46:55,No Mask,2.09
2026-01-05 15:47:26,No Mask,3.68
2026-01-05 15:47:26,No Mask,4.05
2026-01-05 15:47:26,No Mask,4.52
2026-01-05 15:47:26,No Mask,5.19
2026-01-05 15:47:26,No Mask,5.45
2026-01-05 15:47:26,No Mask,6.09
2026-01-05 15:47:27,No Mask,6.43
2026-01-05 15:47:27,No Mask,6.65
2026-01-05 15:47:27,No Mask,6.27
2026-01-05 15:47:27,No Mask,5.88
2026-01-05 15:47:27,No Mask,5.70
